Locale,File,Missing_Keys_Count,Missing_Keys_List
bn_BD,app_bn_BD.arb,19,"adminScreenTBD;back;clicked;close;createGame;failedToRevokeAccess;groupNameOptional;knownGroupDetected;link;managePermissions;meetingReadyMessage;myInvites;pendingInvites;playtimeChooseGame;playtimeNoSessions;playtimeParentDashboardTitle;pleaseLoginForFamilyFeatures;pollOptions;statusColon"
he,app_he.arb,19,"adminScreenTBD;back;clicked;close;createGame;failedToRevokeAccess;groupNameOptional;knownGroupDetected;link;managePermissions;meetingReadyMessage;myInvites;pendingInvites;playtimeChooseGame;playtimeNoSessions;playtimeParentDashboardTitle;pleaseLoginForFamilyFeatures;pollOptions;statusColon"
pt_BR,app_pt_BR.arb,19,"adminScreenTBD;back;clicked;close;createGame;failedToRevokeAccess;groupNameOptional;knownGroupDetected;link;managePermissions;meetingReadyMessage;myInvites;pendingInvites;playtimeChooseGame;playtimeNoSessions;playtimeParentDashboardTitle;pleaseLoginForFamilyFeatures;pollOptions;statusColon"
tr,app_tr.arb,19,"adminScreenTBD;back;clicked;close;createGame;failedToRevokeAccess;groupNameOptional;knownGroupDetected;link;managePermissions;meetingReadyMessage;myInvites;pendingInvites;playtimeChooseGame;playtimeNoSessions;playtimeParentDashboardTitle;pleaseLoginForFamilyFeatures;pollOptions;statusColon"
uk,app_uk.arb,19,"adminScreenTBD;back;clicked;close;createGame;failedToRevokeAccess;groupNameOptional;knownGroupDetected;link;managePermissions;meetingReadyMessage;myInvites;pendingInvites;playtimeChooseGame;playtimeNoSessions;playtimeParentDashboardTitle;pleaseLoginForFamilyFeatures;pollOptions;statusColon"
vi,app_vi.arb,2,"failedToRevokeAccess;pleaseLoginForFamilyFeatures"
zh,app_zh.arb,1,"pleaseLoginForFamilyFeatures"
