Locale,File,Missing_Keys_Count,TODO_Entries_Count,Total_Tasks,Missing_Keys_List,TODO_Keys_List
ko,app_ko.arb,0,66,66,"","details;cancelInvite;createNew;settings;playtimeReject;errorLoadingProfile;edit;add;playtimeGameApproved;forgotPassword;familyDashboard;loading;quickActions;playtimeTitle;otpResentSuccessfully;errorCheckingPermissions;clientScreenTBD;fcmToken;pickImage;previous;noProfileFound;noFamilyMembersYet;mediaOptional;messageSavedSuccessfully;scheduledFor;dashboard;noPermissionForBroadcast;playtimeAdminPanelTitle;inviteDetail;scheduled;failedToResendOtp;scheduling;errorSavingMessage;save;playtimeApprove;createYourFirstSession;playtimeGameRejected;failedToRevokeAccess;recentGames;customizeMessage;failedToCancelInvite;errorSendingMessage;confirmPassword;errorLoadingPrivacyRequests;connectedChildren;share;playtimeEnterGameName;pleaseLoginForFamilyFeatures;myInvites;createGame;groupNameOptional;playtimeNoSessions;adminScreenTBD;playtimeParentDashboardTitle;close;knownGroupDetected;back;playtimeChooseGame;managePermissions;pollOptions;clicked;link;meetingReadyMessage;pendingInvites;statusColon;pleaseLoginToViewProfile"
lt,app_lt.arb,0,166,166,"","refresh;home;noSessionsYet;ok;playtimeLandingChooseMode;signUp;scheduleMessage;decline;adminBroadcast;login;playtimeChooseFriends;noInvites;playtimeChooseTime;success;undo;opened;createVirtualSession;messageSentSuccessfully;redo;next;search;cancelInviteConfirmation;created;revokeAccess;saveGroupForRecognition;playtimeLiveScheduled;revokeAccessConfirmation;download;password;errorLoadingFamilyLinks;cancel;playtimeCreate;failedToActionPrivacyRequest;appTitle;accept;playtimeModeVirtual;playtimeDescription;delete;playtimeVirtualStarted;createYourFirstGame;participants;recipients;noResults;yes;invite;playtimeModeLive;done;defaultShareMessage;no;playtimeHub;error;createLiveSession;enableNotifications;invited;content;meetingSharedSuccessfully;welcomeToPlaytime;viewAll;playtimeVirtual;staffScreenTBD;cut;inviteCancelledSuccessfully;retry;composeBroadcastMessage;sendNow;noGamesYet;select;about;choose;profile;removeChild;status;logout;paste;welcome;playtimeCreateSession;familyMembers;upload;upcomingSessions;enterGroupName;confirm;playtimeLive;errorLoadingInvites;targetingFilters;pickVideo;playtimeGameDeleted;scheduleForLater;accessRevokedSuccessfully;type;checkingPermissions;copy;yesCancel;email;shareOnWhatsApp;notificationSettings;myProfile;revoke;noBroadcastMessages;requestType;notifications;details;cancelInvite;createNew;settings;playtimeReject;errorLoadingProfile;edit;add;playtimeGameApproved;forgotPassword;familyDashboard;loading;quickActions;playtimeTitle;otpResentSuccessfully;errorCheckingPermissions;clientScreenTBD;fcmToken;pickImage;previous;noProfileFound;noFamilyMembersYet;mediaOptional;messageSavedSuccessfully;scheduledFor;dashboard;noPermissionForBroadcast;playtimeAdminPanelTitle;inviteDetail;scheduled;failedToResendOtp;scheduling;errorSavingMessage;save;playtimeApprove;createYourFirstSession;playtimeGameRejected;failedToRevokeAccess;recentGames;customizeMessage;failedToCancelInvite;errorSendingMessage;confirmPassword;errorLoadingPrivacyRequests;connectedChildren;share;playtimeEnterGameName;pleaseLoginForFamilyFeatures;myInvites;createGame;groupNameOptional;playtimeNoSessions;adminScreenTBD;playtimeParentDashboardTitle;close;knownGroupDetected;back;playtimeChooseGame;managePermissions;pollOptions;clicked;link;meetingReadyMessage;pendingInvites;statusColon;pleaseLoginToViewProfile"
lv,app_lv.arb,0,71,71,"","refresh;noSessionsYet;ok;playtimeLandingChooseMode;signUp;scheduleMessage;playtimeChooseFriends;playtimeChooseTime;success;undo;createVirtualSession;redo;search;playtimeLiveScheduled;download;playtimeCreate;playtimeModeVirtual;playtimeDescription;delete;playtimeVirtualStarted;createYourFirstGame;participants;noResults;playtimeModeLive;done;playtimeHub;error;createLiveSession;welcomeToPlaytime;viewAll;playtimeVirtual;cut;retry;noGamesYet;select;about;choose;logout;paste;playtimeCreateSession;upload;upcomingSessions;confirm;playtimeLive;playtimeGameDeleted;copy;createNew;settings;playtimeReject;edit;add;playtimeGameApproved;forgotPassword;quickActions;playtimeTitle;previous;scheduledFor;playtimeAdminPanelTitle;playtimeApprove;createYourFirstSession;playtimeGameRejected;recentGames;confirmPassword;share;playtimeEnterGameName;createGame;playtimeNoSessions;playtimeParentDashboardTitle;back;playtimeChooseGame;pleaseLoginToViewProfile"
mk,app_mk.arb,0,166,166,"","refresh;home;noSessionsYet;ok;playtimeLandingChooseMode;signUp;scheduleMessage;decline;adminBroadcast;login;playtimeChooseFriends;noInvites;playtimeChooseTime;success;undo;opened;createVirtualSession;messageSentSuccessfully;redo;next;search;cancelInviteConfirmation;created;revokeAccess;saveGroupForRecognition;playtimeLiveScheduled;revokeAccessConfirmation;download;password;errorLoadingFamilyLinks;cancel;playtimeCreate;failedToActionPrivacyRequest;appTitle;accept;playtimeModeVirtual;playtimeDescription;delete;playtimeVirtualStarted;createYourFirstGame;participants;recipients;noResults;yes;invite;playtimeModeLive;done;defaultShareMessage;no;playtimeHub;error;createLiveSession;enableNotifications;invited;content;meetingSharedSuccessfully;welcomeToPlaytime;viewAll;playtimeVirtual;staffScreenTBD;cut;inviteCancelledSuccessfully;retry;composeBroadcastMessage;sendNow;noGamesYet;select;about;choose;profile;removeChild;status;logout;paste;welcome;playtimeCreateSession;familyMembers;upload;upcomingSessions;enterGroupName;confirm;playtimeLive;errorLoadingInvites;targetingFilters;pickVideo;playtimeGameDeleted;scheduleForLater;accessRevokedSuccessfully;type;checkingPermissions;copy;yesCancel;email;shareOnWhatsApp;notificationSettings;myProfile;revoke;noBroadcastMessages;requestType;notifications;details;cancelInvite;createNew;settings;playtimeReject;errorLoadingProfile;edit;add;playtimeGameApproved;forgotPassword;familyDashboard;loading;quickActions;playtimeTitle;otpResentSuccessfully;errorCheckingPermissions;clientScreenTBD;fcmToken;pickImage;previous;noProfileFound;noFamilyMembersYet;mediaOptional;messageSavedSuccessfully;scheduledFor;dashboard;noPermissionForBroadcast;playtimeAdminPanelTitle;inviteDetail;scheduled;failedToResendOtp;scheduling;errorSavingMessage;save;playtimeApprove;createYourFirstSession;playtimeGameRejected;failedToRevokeAccess;recentGames;customizeMessage;failedToCancelInvite;errorSendingMessage;confirmPassword;errorLoadingPrivacyRequests;connectedChildren;share;playtimeEnterGameName;pleaseLoginForFamilyFeatures;myInvites;createGame;groupNameOptional;playtimeNoSessions;adminScreenTBD;playtimeParentDashboardTitle;close;knownGroupDetected;back;playtimeChooseGame;managePermissions;pollOptions;clicked;link;meetingReadyMessage;pendingInvites;statusColon;pleaseLoginToViewProfile"
ms,app_ms.arb,0,19,19,"","failedToRevokeAccess;pleaseLoginForFamilyFeatures;myInvites;createGame;groupNameOptional;playtimeNoSessions;adminScreenTBD;playtimeParentDashboardTitle;close;knownGroupDetected;back;playtimeChooseGame;managePermissions;pollOptions;clicked;link;meetingReadyMessage;pendingInvites;statusColon"
mt,app_mt.arb,0,166,166,"","refresh;home;noSessionsYet;ok;playtimeLandingChooseMode;signUp;scheduleMessage;decline;adminBroadcast;login;playtimeChooseFriends;noInvites;playtimeChooseTime;success;undo;opened;createVirtualSession;messageSentSuccessfully;redo;next;search;cancelInviteConfirmation;created;revokeAccess;saveGroupForRecognition;playtimeLiveScheduled;revokeAccessConfirmation;download;password;errorLoadingFamilyLinks;cancel;playtimeCreate;failedToActionPrivacyRequest;appTitle;accept;playtimeModeVirtual;playtimeDescription;delete;playtimeVirtualStarted;createYourFirstGame;participants;recipients;noResults;yes;invite;playtimeModeLive;done;defaultShareMessage;no;playtimeHub;error;createLiveSession;enableNotifications;invited;content;meetingSharedSuccessfully;welcomeToPlaytime;viewAll;playtimeVirtual;staffScreenTBD;cut;inviteCancelledSuccessfully;retry;composeBroadcastMessage;sendNow;noGamesYet;select;about;choose;profile;removeChild;status;logout;paste;welcome;playtimeCreateSession;familyMembers;upload;upcomingSessions;enterGroupName;confirm;playtimeLive;errorLoadingInvites;targetingFilters;pickVideo;playtimeGameDeleted;scheduleForLater;accessRevokedSuccessfully;type;checkingPermissions;copy;yesCancel;email;shareOnWhatsApp;notificationSettings;myProfile;revoke;noBroadcastMessages;requestType;notifications;details;cancelInvite;createNew;settings;playtimeReject;errorLoadingProfile;edit;add;playtimeGameApproved;forgotPassword;familyDashboard;loading;quickActions;playtimeTitle;otpResentSuccessfully;errorCheckingPermissions;clientScreenTBD;fcmToken;pickImage;previous;noProfileFound;noFamilyMembersYet;mediaOptional;messageSavedSuccessfully;scheduledFor;dashboard;noPermissionForBroadcast;playtimeAdminPanelTitle;inviteDetail;scheduled;failedToResendOtp;scheduling;errorSavingMessage;save;playtimeApprove;createYourFirstSession;playtimeGameRejected;failedToRevokeAccess;recentGames;customizeMessage;failedToCancelInvite;errorSendingMessage;confirmPassword;errorLoadingPrivacyRequests;connectedChildren;share;playtimeEnterGameName;pleaseLoginForFamilyFeatures;myInvites;createGame;groupNameOptional;playtimeNoSessions;adminScreenTBD;playtimeParentDashboardTitle;close;knownGroupDetected;back;playtimeChooseGame;managePermissions;pollOptions;clicked;link;meetingReadyMessage;pendingInvites;statusColon;pleaseLoginToViewProfile"
nl,app_nl.arb,0,19,19,"","failedToRevokeAccess;pleaseLoginForFamilyFeatures;myInvites;createGame;groupNameOptional;playtimeNoSessions;adminScreenTBD;playtimeParentDashboardTitle;close;knownGroupDetected;back;playtimeChooseGame;managePermissions;pollOptions;clicked;link;meetingReadyMessage;pendingInvites;statusColon"
no,app_no.arb,0,19,19,"","failedToRevokeAccess;pleaseLoginForFamilyFeatures;myInvites;createGame;groupNameOptional;playtimeNoSessions;adminScreenTBD;playtimeParentDashboardTitle;close;knownGroupDetected;back;playtimeChooseGame;managePermissions;pollOptions;clicked;link;meetingReadyMessage;pendingInvites;statusColon"
pl,app_pl.arb,0,19,19,"","failedToRevokeAccess;pleaseLoginForFamilyFeatures;myInvites;createGame;groupNameOptional;playtimeNoSessions;adminScreenTBD;playtimeParentDashboardTitle;close;knownGroupDetected;back;playtimeChooseGame;managePermissions;pollOptions;clicked;link;meetingReadyMessage;pendingInvites;statusColon"
pt,app_pt.arb,0,103,103,"","composeBroadcastMessage;sendNow;noGamesYet;select;about;choose;profile;removeChild;status;logout;paste;welcome;playtimeCreateSession;familyMembers;upload;upcomingSessions;enterGroupName;confirm;playtimeLive;errorLoadingInvites;targetingFilters;pickVideo;playtimeGameDeleted;scheduleForLater;accessRevokedSuccessfully;type;checkingPermissions;copy;yesCancel;email;shareOnWhatsApp;notificationSettings;myProfile;revoke;noBroadcastMessages;requestType;notifications;details;cancelInvite;createNew;settings;playtimeReject;errorLoadingProfile;edit;add;playtimeGameApproved;forgotPassword;familyDashboard;loading;quickActions;playtimeTitle;otpResentSuccessfully;errorCheckingPermissions;clientScreenTBD;fcmToken;pickImage;previous;noProfileFound;noFamilyMembersYet;mediaOptional;messageSavedSuccessfully;scheduledFor;dashboard;noPermissionForBroadcast;playtimeAdminPanelTitle;inviteDetail;scheduled;failedToResendOtp;scheduling;errorSavingMessage;save;playtimeApprove;createYourFirstSession;playtimeGameRejected;failedToRevokeAccess;recentGames;customizeMessage;failedToCancelInvite;errorSendingMessage;confirmPassword;errorLoadingPrivacyRequests;connectedChildren;share;playtimeEnterGameName;pleaseLoginForFamilyFeatures;myInvites;createGame;groupNameOptional;playtimeNoSessions;adminScreenTBD;playtimeParentDashboardTitle;close;knownGroupDetected;back;playtimeChooseGame;managePermissions;pollOptions;clicked;link;meetingReadyMessage;pendingInvites;statusColon;pleaseLoginToViewProfile"
