Locale,Key,English Value,Type
am,"authErrorUserDisabled","This account has been disabled. Please contact support.",missing
am,"authErrorUserNotFound","No account found with this email address.",missing
am,"authErrorWeakPassword","Password is too weak. Please choose a stronger password.",missing
am,"authErrorWrongPassword","Incorrect password. Please try again.",missing
am,"autoconfirmBookings","Auto-Confirm Bookings",missing
am,"REDACTED_TOKEN","Automatically confirm new booking requests",missing
am,"availability","Availability",missing
am,"backgroundApproved","Background approved!",missing
am,"backgroundDeletedSuccessfully","Background deleted successfully!",missing
am,"backgroundRejected","Background rejected",missing
am,"backgroundUploadedSuccessfully","Background uploaded successfully!",missing
am,"becomeAnAmbassador","Become an Ambassador",missing
am,"bookAppointment","Book Appointment",missing
am,"bookViaChat","Book via Chat",missing
am,"booking","Booking",missing
am,"bookingConfirmed","Booking Confirmed",missing
am,"bookingRequest","Booking Request",missing
am,"bookings","Bookings",untranslated
am,"branchesLengthBranches","{branchCount} branches",missing
am,"broadcast","Broadcast",missing
am,"REDACTED_TOKEN","Business Appointments Entry Screen - Coming Soon",missing
am,"businessAvailability","Business Availability",missing
am,"REDACTED_TOKEN","Business Availability Entry Screen - Coming Soon",missing
am,"REDACTED_TOKEN","Business Booking Entry Screen - Coming Soon",missing
am,"businessCalendar","Business Calendar",missing
am,"REDACTED_TOKEN","Business Completion Screen - Coming Soon",missing
am,"REDACTED_TOKEN","Business CRM Entry Screen - Coming Soon",missing
am,"businessDashboard","Business Dashboard",missing
am,"REDACTED_TOKEN","Business Dashboard Entry Screen - Coming Soon",missing
am,"businessLogin","Business Login",missing
am,"businessLoginScreenComingSoon","Business Login Screen - Coming Soon",missing
am,"businessOnboarding","Business Onboarding",missing
am,"REDACTED_TOKEN","Business Onboarding Screen - Coming Soon",missing
am,"REDACTED_TOKEN","Business Phone Booking Entry Screen - Coming Soon",missing
am,"businessProfile","Business Profile",missing
am,"REDACTED_TOKEN","Business profile activated successfully!",missing
am,"REDACTED_TOKEN","Business Profile Entry Screen - Coming Soon",missing
am,"REDACTED_TOKEN","Business Providers Entry Screen - Coming Soon",missing
am,"businessSetupScreenComingSoon","Business Setup Screen - Coming Soon",missing
am,"businessSignup","Business Signup",missing
am,"businessSignupScreenComingSoon","Business Signup Screen - Coming Soon",missing
am,"businessSubscription","Business Subscription",missing
am,"REDACTED_TOKEN","Business Subscription Entry Screen - Coming Soon",missing
am,"REDACTED_TOKEN","Business Verification Screen - Coming Soon",missing
am,"businessWelcomeScreenComingSoon","Business Welcome Screen - Coming Soon",missing
am,"calendar","Calendar",missing
am,"cancel1","Cancel",missing
am,"cancelAppointment","Cancel Appointment",missing
am,"cancelSubscription","Cancel Subscription",missing
am,"changePlan","Change Plan",missing
am,"changesSavedSuccessfully","Changes saved successfully!",missing
am,"chatBooking","Chat Booking",missing
am,"checkingPermissions1","Checking permissions...",missing
am,"checkingSubscription","Checking subscription...",missing
am,"childDashboard","Child Dashboard",missing
am,"childLinkedSuccessfully","Child linked successfully!",missing
am,"chooseYourPlan","Choose Your Plan",missing
am,"clearAll","Clear All",missing
am,"clearFilters","Clear Filters",missing
am,"clientAddedSuccessfully","Client added successfully!",missing
am,"clientDeletedSuccessfully","Client deleted successfully!",missing
am,"clientUpdatedSuccessfully","Client updated successfully!",missing
am,"clients","Clients",missing
am,"close1","Close",missing
am,"closed","Closed",missing
am,"colorContrastTesting","Color Contrast Testing",missing
am,"completion","Completion",missing
am,"configurationSavedSuccessfully","Configuration saved successfully!",missing
am,"confirm1","Confirm",missing
am,"confirmBooking","Confirm Booking",missing
am,"connectToGoogleCalendar","Connect to Google Calendar",missing
am,"contentDetail","Content Detail",missing
am,"contentFilter","Content Filter",missing
am,"contentLibrary","Content Library",untranslated
am,"contentLibrary1","Content Library",missing
am,"contentNotFound","Content not found",missing
am,"contextContextid","Context: $contextId",missing
am,"continueText","Continue",missing
am,"copiedToClipboard","Copied to clipboard",missing
am,"copy1","Copy",missing
am,"copyLink","Copy Link",missing
am,"couldNotOpenPrivacyPolicy","Could not open privacy policy",missing
am,"country","Country",missing
am,"create","Create",missing
am,"createGame1","Create Game",missing
am,"createNewGame","Create New Game",missing
am,"createNewInvoice","Create New Invoice",missing
am,"createNewSurvey","Create New Survey",missing
am,"creatorCreatorid","Creator: $creatorId",missing
am,"crm","CRM",missing
am,"crmDashboardWithAnalytics","• CRM dashboard with analytics",missing
am,"currentTierTiertouppercase","Current Tier: {tier}",missing
am,"darkMode","Dark Mode",missing
am,"dashboard1","Dashboard",missing
am,"date","Date",missing
am,"REDACTED_TOKEN","Date: {date}",missing
am,"delete1","Delete",missing
am,"deleteAccount","Delete Account",missing
am,"deleteAppointment","Delete Appointment",missing
am,"deleteAvailability","Delete Availability",missing
am,"deleteBackground","Delete Background",missing
am,"deleteFunctionalityComingSoon","Delete functionality coming soon!",missing
am,"deleteGame","Delete Game",missing
am,"deleteMessage","Delete Message",missing
am,"deleteMyAccount","Delete My Account",missing
am,"deleteProvider","Delete Provider",missing
am,"deleteSlot","Delete Slot",missing
am,"deleteSurvey","Delete Survey",missing
am,"deletingAccount","Deleting account...",missing
am,"deviceLogdeviceinfo","Device: {deviceInfo}",missing
am,"REDACTED_TOKEN","Duration: {duration} minutes",missing
am,"edit1","Edit",missing
am,"editBusinessProfile","Edit Business Profile",missing
am,"editClient","Edit Client",missing
am,"editProfile","Edit Profile",missing
am,"editProvider","Edit Provider",missing
am,"editRoom","Edit Room",missing
am,"editSurveyComingSoon","Edit survey - Coming soon!",missing
am,"ekeyEvalue","{key}: {value}",missing
am,"emailNotifications","Email Notifications",missing
am,"emailProfileemail","Email: {profileEmail}",missing
am,"enableNotifications1","Enable Notifications",missing
am,"enableVibration","Enable Vibration",missing
am,"enterOtp","Enter OTP",missing
am,"errorConfirmingPaymentE","Error confirming payment: $e",missing
am,"errorDeletingSlotE","Error deleting slot: $e",missing
am,"errorDetailsLogerrortype","Error Details: {errorType}",missing
am,"errorE","Error: $e",missing
am,"errorError","Error: $error",missing
am,"errorEstimatingRecipientsE","Error estimating recipients: $e",missing
am,"errorLoadingAppointments","Error loading appointments",missing
am,"errorLoadingAvailabilityE","Error loading availability: $e",missing
am,"REDACTED_TOKEN","Error loading bookings: {error}",missing
am,"errorLoadingBranchesE","Error loading branches: $e",missing
am,"errorLoadingConfigurationE","Error loading configuration: $e",missing
am,"errorLoadingDashboardError","Error loading dashboard: $error",missing
am,"errorLoadingEvents","Error loading events",missing
am,"errorLoadingPermissionsError","Error loading permissions: $error",missing
am,"errorLoadingReferralCode","Error loading referral code",missing
am,"errorLoadingRewards","Error loading rewards",missing
am,"errorLoadingSlots","Error loading slots",missing
am,"errorLoadingStaff","Error loading staff",missing
am,"errorLoadingSubscriptionError","Error loading subscription: $error",missing
am,"errorLoadingSurveysError","Error loading surveys: $error",missing
am,"errorLogerrormessage","Error: {errorMessage}",missing
am,"errorPickingImageE","Error picking image: $e",missing
am,"errorPickingVideoE","Error picking video: $e",missing
am,"errorSavingConfigurationE","Error saving configuration: $e",missing
am,"errorSavingSettingsE","Error saving settings: $e",missing
am,"errorSnapshoterror","Error: {error}",missing
am,"eventCreated","Event created",missing
am,"eventstarttimeEventendtime","{startTime} - {endTime}",missing
am,"exportAsCsv","Export as CSV",missing
am,"exportAsPdf","Export as PDF",missing
am,"exportData","Export Data",missing
am,"externalMeetings","External Meetings",missing
am,"failedToApplyPromoCodeE","Failed to apply promo code: $e",missing
am,"failedToCancelSubscription","Failed to cancel subscription",missing
am,"failedToCreateGameE","Failed to create game: $e",missing
am,"failedToCreateSessionE","Failed to create session: $e",missing
am,"failedToDeleteAccountE","Failed to delete account: $e",missing
am,"failedToOpenCustomerPortalE","Failed to open customer portal: $e",missing
am,"failedToSendInvitationE","Failed to send invitation: $e",missing
am,"failedToSendPrivacyRequestE","Failed to send privacy request: $e",missing
am,"failedToStartBasicSubscriptionE","Failed to start Basic subscription: $e",missing
am,"failedToStartProSubscriptionE","Failed to start Pro subscription: $e",missing
am,"failedToUpdateConsentE","Failed to update consent: $e",missing
am,"failedToUpdatePermissionE","Failed to update permission: $e",missing
am,"failedToUploadBackgroundE","Failed to upload background: $e",missing
am,"familySupport","Family Support",missing
am,"forward","Forward",missing
